jci_name,description,sensor_type,sensor_error,unit,type,data_type,name
BONNER.2ND-FLR.RM-2406.VAV-2406.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 108 FC 1 AH1 SAV 027 ACTCLG STPT
BONNER.2ND-FLR.RM-2401.VAV-2401-1.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 108 FC 1 AH1 SAV 028 ACTCLG STPT
BONNER.2ND-FLR.RM-2402.VAV-2402.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 108 FC 1 AH1 VMA 032 ACTCLG STPT
BONNER.3RD-FLR.RM-3126.VAV-3126.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 108 FC 2 AH3 VMA 004 ACTCLG STPT
BONNER.3RD-FLR.RM-3125.VAV-3125.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 108 FC 2 AH3 FEC 006 ACTCLG STPT
BONNER.3RD-FLR.RM-3146.VAV-3146.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 108 FC 2 AH3 VMA 007 ACTCLG STPT
BONNER.3RD-FLR.RM-3142.VAV-3142.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 108 FC 2 AH3 VMA 009 ACTCLG STPT
BONNER.3RD-FLR.RM-3145.VAV-3145.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 108 FC 2 AH3 FEC 011 ACTCLG STPT
BONNER.3RD-FLR.RM-3113.VAV-3113-1.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 108 FC 2 AH3 SAV 012 ACTCLG STPT
BONNER.3RD-FLR.RM-3214.VAV-3214.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 108 FC 2 AH3 VMA 015 ACTCLG STPT
BONNER.3RD-FLR.RM-3205.VAV-3205-1.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 108 FC 2 AH3 SAV 017 ACTCLG STPT
BONNER.3RD-FLR.RM-3206.VAV-3206.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 108 FC 2 AH3 SAV 021 ACTCLG STPT
BONNER.3RD-FLR.RM-3114.VAV-3114.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 108 FC 2 AH3 SAV 022 ACTCLG STPT
BONNER.3RD-FLR.RM-3106.VAV-3106.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 108 FC 2 AH3 VMA 023 ACTCLG STPT
BONNER.3RD-FLR.RM-3202.VAV-3202.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 108 FC 2 AH3 VMA 027 ACTCLG STPT
BONNER.3RD-FLR.RM-3222.VAV-3222-1.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 108 FC 2 AH3 SAV 028 ACTCLG STPT
BONNER.3RD-FLR.RM-3222.VAV-3222-2.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 108 FC 2 AH3 SAV 029 ACTCLG STPT
BONNER.3RD-FLR.RM-3221.VAV-3221-1.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 108 FC 2 AH3 SAV 030 ACTCLG STPT
BONNER.2ND-FLR.RM-2130.VAV-2130.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 108 FC 1 AH3 VMA 007 ACTCLG STPT
BONNER.2ND-FLR.RM-2310.VAV-2310.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 108 FC 1 AH1 SAV 034 ACTCLG STPT
BONNER.3RD-FLR.RM-3130.VAV-3130.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 108 FC 2 AH3 SAV 025 ACTCLG STPT
BONNER.2ND-FLR.RM-2002A.VAV-2002A.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,95,Analog Value,2,NAE 108 FC 1 AHU1 SAV 010 ACTCLG STPT
BONNER.2ND-FLR.RM-2325.VAV2325-2.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,95,Analog Value,2,NAE 108 FC 1 AHU1 SAV 035 ACTCLG STPT
BONNER.3RD-FLR.RM-3230.VAV-3230.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 109 FC 1 AH3 VMA 005 ACTCLG STPT
BONNER.3RD-FLR.RM-3246.VAV-3246.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 109 FC 1 AH3 VMA 007 ACTCLG STPT
BONNER.3RD-FLR.RM-3000.VAV-3000.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 109 FC 1 AH3 SAV 009 ACTCLG STPT
BONNER.3RD-FLR.RM-3002.VAV-TM3002.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 109 FC 1 AH1 SAV 010 ACTCLG STPT
BONNER.3RD-FLR.RM-3329.VAV-3329.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 109 FC 1 AH1 SAV 011 ACTCLG STPT
BONNER.3RD-FLR.RM-3326.VAV-3326.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 109 FC 1 AH1 VMA 012 ACTCLG STPT
BONNER.3RD-FLR.RM-3318.VAV-3318.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 109 FC 1 AH1 SAV 014 ACTCLG STPT
BONNER.3RD-FLR.RM-3317.VAV-3317-1.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 109 FC 1 AH1 SAV 015 ACTCLG STPT
BONNER.3RD-FLR.RM-3422.VAV-3422.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 109 FC 1 AH1 SAV 018 ACTCLG STPT
BONNER.3RD-FLR.RM-3417.VAV-3417.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 109 FC 1 AH1 FEC 019 ACTCLG STPT
BONNER.3RD-FLR.RM-3430.VAV-3430.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 109 FC 1 AH1 VMA 020 ACTCLG STPT
BONNER.3RD-FLR.RM-3401.VAV-3401-1.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 109 FC 1 AH1 SAV 023 ACTCLG STPT
BONNER.3RD-FLR.RM-3306.VAV-3306.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 109 FC 1 AH1 VMA 027 ACTCLG STPT
BONNER.3RD-FLR.RM-3402.VAV-3402.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 109 FC 1 AH1 VMA 029 ACTCLG STPT
BONNER.3RD-FLR.RM-3406.VAV-3406.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 109 FC 1 AH1 SAV 031 ACTCLG STPT
BONNER.3RD-FLR.RM-3414.VAV-3414.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 109 FC 1 AH1 VMA 032 ACTCLG STPT
BONNER.4TH-FLR.RM-4121.VAV-4121.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 109 FC 2 AH3 FEC 004 ACTCLG STPT
BONNER.4TH-FLR.RM-4221.VAV-4221-1.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 109 FC 2 AH3 SAV 005 ACTCLG STPT
BONNER.4TH-FLR.RM-4222.VAV-4222.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 109 FC 2 AH3 SAV 009 ACTCLG STPT
BONNER.4TH-FLR.RM-4126.VAV-4126.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 109 FC 2 AH3 SAV 010 ACTCLG STPT
BONNER.4TH-FLR.RM-4141.VAV-4141.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 109 FC 2 AH3 SAV 011 ACTCLG STPT
BONNER.4TH-FLR.RM-4134.VAV-4134.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 109 FC 2 AH3 VMA 012 ACTCLG STPT
BONNER.4TH-FLR.RM-4145.VAV-4145.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 109 FC 2 AH3 SAV 014 ACTCLG STPT
BONNER.4TH-FLR.RM-4146.VAV-4146.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 109 FC 2 AH3 VMA 015 ACTCLG STPT
BONNER.4TH-FLR.RM-4122.VAV-4122.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 109 FC 2 AH3 VMA 017 ACTCLG STPT
BONNER.4TH-FLR.RM-4105.VAV-4105-1.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 109 FC 2 AH3 SAV 019 ACTCLG STPT
BONNER.4TH-FLR.RM-4205.VAV-4205-1.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 109 FC 2 AH3 SAV 023 ACTCLG STPT
BONNER.4TH-FLR.RM-4218.VAV-4218.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 109 FC 2 AH3 VMA 028 ACTCLG STPT
BONNER.4TH-FLR.RM-4206.VAV-4206.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 109 FC 2 AH3 SAV 029 ACTCLG STPT
BONNER.4TH-FLR.RM-4202.VAV-4202.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 109 FC 2 AH3 VMA 030 ACTCLG STPT
BONNER.4TH-FLR.RM-4106.VAV-4106.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 109 FC 2 AH3 VMA 033 ACTCLG STPT
BONNER.4TH-FLR.RM-4110.VAV-4110.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 109 FC 2 AH3 SAV 034 ACTCLG STPT
BONNER.3RD-FLR.RM-3105.VAV-3105.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 109 FC 1 AH3 SAV 004 ACTCLG STPT
BONNER.4TH-FLR.RM-4230.VAV-4230.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 110 FC 1 AH3 VMA 005 ACTCLG STPT
BONNER.4TH-FLR.RM-4242.VAV-4242.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 110 FC 1 AH3 VMA 007 ACTCLG STPT
BONNER.4TH-FLR.RM-4000.VAV-4000-1.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 110 FC 1 AH1 SAV 008 ACTCLG STPT
BONNER.4TH-FLR.RM-TM4002.VAV-TM4002.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 110 FC 1 AHX SAV 010 ACTCLG STPT
BONNER.4TH-FLR.RM-4334.VAV-4334.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 110 FC 1 AHX VMA 011 ACTCLG STPT
BONNER.4TH-FLR.RM-4325A.VAV-4325A.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 110 FC 1 AH1 SAV 013 ACTCLG STPT
BONNER.4TH-FLR.RM-4430.VAV-4430.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 110 FC 1 AH1 VMA 014 ACTCLG STPT
BONNER.4TH-FLR.RM-4326A.VAV-4326A.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 110 FC 1 AH1 VMA 016 ACTCLG STPT
BONNER.4TH-FLR.RM-4325.VAV-4325.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 110 FC 1 AH1 SAV 018 ACTCLG STPT
BONNER.4TH-FLR.RM-4417.VAV-4417-1.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 110 FC 1 AH1 SAV 020 ACTCLG STPT
BONNER.4TH-FLR.RM-4422.VAV-4422.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 110 FC 1 AH1 SAV 022 ACTCLG STPT
BONNER.4TH-FLR.RM-4305.VAV-4305.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 110 FC 1 AH1 FEC 023 ACTCLG STPT
BONNER.4TH-FLR.RM-4306.VAV-4306.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 110 FC 1 AH1 VMA 024 ACTCLG STPT
BONNER.4TH-FLR.RM-4318.VAV-4318.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 110 FC 1 AH1 VMA 026 ACTCLG STPT
BONNER.4TH-FLR.RM-4414.VAV-4414.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 110 FC 1 AH1 VMA 028 ACTCLG STPT
BONNER.4TH-FLR.RM-4401.VAV-4401-1.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 110 FC 1 AH1 SAV 030 ACTCLG STPT
BONNER.4TH-FLR.RM-4310.VAV-4310.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 110 FC 1 AH1 SAV 034 ACTCLG STPT
BONNER.4TH-FLR.RM-4406.VAV-4406.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 110 FC 1 AH1 SAV 035 ACTCLG STPT
BONNER.4TH-FLR.RM-4402.VAV-4402.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 110 FC 1 AH1 VMA 036 ACTCLG STPT
BH.1STFLR.RM-1511.VAV-5.ACTHTG-SP,Actual Heating Setpoint,actual heating setpoint,,64,Analog Input,0,NAE 57 N2 1 VAV 5 ACTHTG SP
BH.1STFLR.RM-1502.VAV-8.ACTHTG-SP,Actual Heating Setpoint,actual heating setpoint,,64,Analog Input,0,NAE 57 N2 1 VAV 8 ACTHTG SP
BH.1STFLR.RM-1506.VAV-10.ACTHTG-SP,Actual Heating Setpoint,actual heating setpoint,,64,Analog Input,0,NAE 57 N2 1 VAV 10 ACTHTG SP
BONNER.1ST-FLR.RM-1106.VAV-1106.ACTHTG-STPT,Actual Heating Setpoint,actual heating setpoint,,64,Analog Value,2,NAE 107 FC 1 AH3 SAV 004 ACTHTG STPT
BONNER.1ST-FLR.RM-1241.VAV-1241.ACTHTG-STPT,Actual Heating Setpoint,actual heating setpoint,,64,Analog Value,2,NAE 107 FC 1 AH1 SAV 005 ACTHTG STPT
BONNER.1ST-FLR.RM-1005.VAV-1005.ACTHTG-STPT,Actual Heating Setpoint,actual heating setpoint,,64,Analog Value,2,NAE 107 FC 1 AH1 SAV 006 ACTHTG STPT
BONNER.1ST-FLR.RM-C1000.VAV-C1000.ACTHTG-STPT,Actual Heating Setpoint,actual heating setpoint,,64,Analog Value,2,NAE 107 FC 1 AH1 SAV 007 ACTHTG STPT
BONNER.1ST-FLR.RM-1449A.VAV-1449A.ACTHTG-STPT,Actual Heating Setpoint,actual heating setpoint,,64,Analog Value,2,NAE 107 FC 1 AH1 SAV 008 ACTHTG STPT
BONNER.1ST-FLR.RM-1425.VAV-1425.ACTHTG-STPT,Actual Heating Setpoint,actual heating setpoint,,64,Analog Value,2,NAE 107 FC 1 AH1 SAV 009 ACTHTG STPT
BONNER.1ST-FLR.RM-1449B.VAV-1449B.ACTHTG-STPT,Actual Heating Setpoint,actual heating setpoint,,64,Analog Value,2,NAE 107 FC 1 AH1 SAV 010 ACTHTG STPT
